"ambiguous_word","id","gloss","role_category","gloss_lower"
"rotten",1171011,"the butcher the baker the candle+stick maker they all jumped out of a rotten potato twas enough to make a man stare","Mother","the butcher the baker the candle+stick maker they all jumped out of a rotten potato twas enough to make a man stare"
"rotten",1180280,"rotten apple","Sibling","rotten apple"
"alarm",1182355,"he trotted over to Plum Tree Farm but the wise owl hooted his alarm","Mother","he trotted over to plum tree farm but the wise owl hooted his alarm"
"alarm",1185907,"uh and when the alarm went off I was still doing it","Target Child","uh and when the alarm went off i was still doing it"
"alarm",1195141,"I'm gonna get you an alarm clock","Mother","i'm gonna get you an alarm clock"
"tender",1195511,"this is very tender","Father","this is very tender"
"tender",1195520,"is it tender","Mother","is it tender"
"tender",1195584,"tender to me too","Target Child","tender to me too"
"odd",1261689,"odd odd even even","Target Child","odd odd even even"
"odd",1261722,"odd","Target Child","odd"
"odd",1261740,"odd","Target Child","odd"
"odd",1261762,"odd odd even even","Target Child","odd odd even even"
"odd",1266039,"it it was in some sort of odd odd spaghetti and something casserole","Other Adult","it it was in some sort of odd odd spaghetti and something casserole"
"tender",1270695,"put it in with that the meat and make the meat nice and tender nice and soft and tasty doesn't it","Mother","put it in with that the meat and make the meat nice and tender nice and soft and tasty doesn't it"
"tender",1275169,"the meat is tender","Sibling","the meat is tender"
"tender",1289804,"well that's good it might be tender","Mother","well that's good it might be tender"
"rotten",1305291,"is he rotten","Target Child","is he rotten"
"ill",1331881,"make me ill","Target Child","make me ill"
"ill",1331893,"making you ill","Father","making you ill"
"ill",1331902,"well then you don't hafta eat it if it's making you ill","Mother","well then you don't hafta eat it if it's making you ill"
"tender",1339572,"tender heart","Sibling","tender heart"
"tender",1339577,"tender heart bear as he slide down a rainbow","Target Child","tender heart bear as he slide down a rainbow"
"crushed",1372102,"it's a crushed piece of coal isn't it","Mother","it's a crushed piece of coal isn't it"
"odd",1378593,"he's so odd","Target Child","he's so odd"
"rotten",1383259,"you rotten piece of egg","Sibling","you rotten piece of egg"
"alarm",1404749,"he didn't set his alarm","Mother","he didn't set his alarm"
"rotten",1410446,"you rotten","Target Child","you rotten"
"odd",1438454,"and um the the end of the lobster looks kinda odd a little bit I don't know how to you know it","Mother","and um the the end of the lobster looks kinda odd a little bit i don't know how to you know it"
"rotten",1450905,"and when bugs are in them they get rotten","Target Child","and when bugs are in them they get rotten"
"odd",1456906,"very uh um kind of an odd cartoon maybe","Mother","very uh um kind of an odd cartoon maybe"
"odd",1458011,"two to hold and go back so it kinda looks odd","Mother","two to hold and go back so it kinda looks odd"
"ill",1468506,"which we just had a big bout of um actual just a few days after my baby was born my Firstname was really ill with the stomach flu and my husband was ill with the stomach flu so we had a lot of saltines in the house","Mother","which we just had a big bout of um actual just a few days after my baby was born my firstname was really ill with the stomach flu and my husband was ill with the stomach flu so we had a lot of saltines in the house"
"rotten",1470798,"make banana bread with rotten bananas","Mother","make banana bread with rotten bananas"
"tender",1470876,"these things are just you know the leaves are tender","Mother","these things are just you know the leaves are tender"
"tender",1470881,"everything's tender","Mother","everything's tender"
"rotten",1476204,"looks like it's a little rotten","Mother","looks like it's a little rotten"
"odd",1477736,"so they look a little bit odd","Mother","so they look a little bit odd"
"tender",1478498,"um it's kinda deceptive because it's really like porcupiney and rough on the outside but it's really sweet and tender on the inside","Mother","um it's kinda deceptive because it's really like porcupiney and rough on the outside but it's really sweet and tender on the inside"
"ill",1479532,"um reminds me of our ill fated trip to Mexico last February when our little Firstname who's one got a terrible double ear infection and we had to take him to a","Mother","um reminds me of our ill fated trip to mexico last february when our little firstname who's one got a terrible double ear infection and we had to take him to a"
"rotten",1487282,"uh ever since I was little I always thought it smelled rotten and tasted rotten","Mother","uh ever since i was little i always thought it smelled rotten and tasted rotten"
"alarm",1487338,"there was a real fire today when when the fire alarm came on there was a real fire","Target Child","there was a real fire today when when the fire alarm came on there was a real fire"
"alarm",1487373,"nothing just the fire alarm","Target Child","nothing just the fire alarm"
"alarm",1487537,"so that's why I usually have an alarm because xxx","Target Child","so that's why i usually have an alarm because xxx"
"ill",1488385,"they help you get better when you're ill","Target Child","they help you get better when you're ill"
"ill",1488393,"I was ill too","Target Child","i was ill too"
"odd",1491850,"almost not proportion though the way it's standing it's kinda odd","Mother","almost not proportion though the way it's standing it's kinda odd"
"odd",1492446,"looks kinda odd","Mother","looks kinda odd"
"odd",1504646,"odd choices there","Mother","odd choices there"
"odd",1504746,"isn't that odd","Mother","isn't that odd"
"odd",1504828,"which is odd for me because I'm like a big fan of salt","Mother","which is odd for me because i'm like a big fan of salt"
"odd",1507783,"looks like a female which is kind of odd in our society","Mother","looks like a female which is kind of odd in our society"
"odd",1507797,"what an odd thing to have remind you of your grandma but lobster you know because that's what we always got when we went to see her","Mother","what an odd thing to have remind you of your grandma but lobster you know because that's what we always got when we went to see her"
"crushed",1513079,"I don't think they do because the girls are so much weaker than the boys they could get crushed","Mother","i don't think they do because the girls are so much weaker than the boys they could get crushed"
"odd",1513593,"that looks kind of odd","Mother","that looks kind of odd"
"odd",1516144,"those look kinda odd","Mother","those look kinda odd"
"odd",1520108,"this one's kinda an odd shape","Mother","this one's kinda an odd shape"
"odd",1520172,"it's um got an odd shape","Mother","it's um got an odd shape"
"odd",1521941,"he's got very odd eyebrows","Mother","he's got very odd eyebrows"
"tender",1522329,"because it tastes it is more um tender to eat","Mother","because it tastes it is more um tender to eat"
"odd",1526837,"although it's kind of an odd picture","Mother","although it's kind of an odd picture"
"odd",1526990,"but it doesn't look like he's pointing it at the fire so that's odd","Mother","but it doesn't look like he's pointing it at the fire so that's odd"
"odd",1529600,"that's odd","Mother","that's odd"
"odd",1534672,"and kind of an odd posture","Mother","and kind of an odd posture"
"odd",1539931,"unless it's just along the dirt but it looks like an odd place for the tree to grow","Mother","unless it's just along the dirt but it looks like an odd place for the tree to grow"
"rotten",1541063,"in fact I just found a rotten one under ourneath fishtank","Mother","in fact i just found a rotten one under ourneath fishtank"
"odd",1541834,"it's a really odd mark on his chest","Mother","it's a really odd mark on his chest"
"odd",1545538,"on Fairly Odd Parents","Target Child","on fairly odd parents"
"odd",1545547,"fairly Odd Parents","Mother","fairly odd parents"
"odd",1547160,"um that seems odd that he's looking this way not at the fire","Mother","um that seems odd that he's looking this way not at the fire"
"ill",1550136,"um the doctor doesn't look real concerned so maybe she's not real real ill","Mother","um the doctor doesn't look real concerned so maybe she's not real real ill"
"rotten",1552364,"well I don't like to eat rotten bananas made out of ro-banana bread I don't like to eat","Target Child","well i don't like to eat rotten bananas made out of ro-banana bread i don't like to eat"
"gloomy",1555931,"this time of year because it's so gloomy","Mother","this time of year because it's so gloomy"
"gloomy",1555993,"so just you know this kinda gloomy time of year leading to you know maybe spring or something but yeah","Mother","so just you know this kinda gloomy time of year leading to you know maybe spring or something but yeah"
"gloomy",1560492,"happier happier things rather than than gloomy stuff so","Mother","happier happier things rather than than gloomy stuff so"
"crushed",1562329,"you'd never know it wasn't crushed pineapple","Mother","you'd never know it wasn't crushed pineapple"
"odd",1563228,"the leaves seem odd","Mother","the leaves seem odd"
"odd",1563314,"it just seems very odd they way the leaves are around it","Mother","it just seems very odd they way the leaves are around it"
"alarm",1563706,"and then when their when their hears the alarm come off then that means that means their popcorn is done","Target Child","and then when their when their hears the alarm come off then that means that means their popcorn is done"
"odd",1567252,"So that parts a little odd","Mother","so that parts a little odd"
"odd",1567909,"it just seems odd to me that he's smoking a pipe","Mother","it just seems odd to me that he's smoking a pipe"
"odd",1567928,"I don't know why but that association seems odd to me","Mother","i don't know why but that association seems odd to me"
"odd",1569065,"His legs really look odd","Mother","his legs really look odd"
"crushed",1569701,"um in Frankenmuth at the Frankenmuth Brewery you can get hot pretzels with mustard butter like butter with like mustard seed crushed in it","Mother","um in frankenmuth at the frankenmuth brewery you can get hot pretzels with mustard butter like butter with like mustard seed crushed in it"
"odd",1571522,"which I think is sort of odd for a four year old","Mother","which i think is sort of odd for a four year old"
"alarm",1574994,"it's the fire or smoke alarm","Mother","it's the fire or smoke alarm"
"rotten",1724663,"he's having orange rinds yuck rotten eggs burned bacon and stale bread crumbs","Mother","he's having orange rinds yuck rotten eggs burned bacon and stale bread crumbs"
"rotten",1733024,"ole rotten puppy","Mother","ole rotten puppy"
"tender",1733271,"you are so tender headed","Mother","you are so tender headed"
"rotten",1743442,"you're so rotten","Mother","you're so rotten"
"alarm",1799720,"so when the fire alarm rings it will be ready to go to the fire","Mother","so when the fire alarm rings it will be ready to go to the fire"
"odd",1897863,"dis odd","Target Child","dis odd"
"odd",1897872,"it's odd","Mother","it's odd"
"odd",1897891,"it's odd","Target Child","it's odd"
"alarm",1900188,"jumping out of bed and catching the alarm clock","Mother","jumping out of bed and catching the alarm clock"
"odd",1921627,"in the odd yyy head it hurts","Target Child","in the odd yyy head it hurts"
"ill",1951185,"the star ballerina is ill and cannot dance tonight","Mother","the star ballerina is ill and cannot dance tonight"
"faint",1954799,"I'm going faint from that","Target Child","i'm going faint from that"
"faint",1954822,"you're gonna faint","Mother","you're gonna faint"
"faint",1954834,"well what's well tell me what you're gonna faint about first","Mother","well what's well tell me what you're gonna faint about first"
"rotten",1970985,"tell daddy it's a rotten deal","Mother","tell daddy it's a rotten deal"
"alarm",1986754,"turned alarm off","Target Child","turned alarm off"
"rotten",2001924,"but Ross Mommy didn't say raw she said if the strings get rotten","Father","but ross mommy didn't say raw she said if the strings get rotten"
"crushed",2003259,"I crushed him into pieces","Target Child","i crushed him into pieces"
"rotten",2008068,"ask rotten little to food color tatoos do these stay on for ever","Target Child","ask rotten little to food color tatoos do these stay on for ever"
"crushed",2014135,"it it it crushed some snow from from up down to the rebel base","Target Child","it it it crushed some snow from from up down to the rebel base"
"tender",2015077,"and Tender Heart Bear said","Target Child","and tender heart bear said"
"odd",2022054,"odd","Target Child","odd"
"alarm",2032318,"hey why did the the man throwed his alarm clock out the window","Target Child","hey why did the the man throwed his alarm clock out the window"
"crushed",2041861,"so they found this big metal bar but it crushed the bar","Target Child","so they found this big metal bar but it crushed the bar"
"rotten",2042892,"oh what a rotten little boy","Father","oh what a rotten little boy"
"rotten",2042927,"what a rotten little boy","Father","what a rotten little boy"
"rotten",2042961,"what a rotten little boy what a rotten little boy we should give him a spanking shouldn't we Mark","Father","what a rotten little boy what a rotten little boy we should give him a spanking shouldn't we mark"
"crushed",2043030,"and I get crushed","Target Child","and i get crushed"
"rotten",2051697,"he gets a cut in the bottom of his foot right boy it sounds really rotten","Father","he gets a cut in the bottom of his foot right boy it sounds really rotten"
"rotten",2052177,"it wasn't something really rotten eh","Father","it wasn't something really rotten eh"
"rotten",2052260,"I hate it when kids do things that are really rotten","Father","i hate it when kids do things that are really rotten"
"rotten",2055194,"and they're all rotten","Father","and they're all rotten"
"rotten",2055386,"Ross said he was a did anyone ever tell you you were a rotten ba an istenem baba","Father","ross said he was a did anyone ever tell you you were a rotten ba an istenem baba"
